Iteracoes,Aproximacao_PI,PI_Real,Erro_Absoluto,Tempo_ms,Precisao,Digitos_Corretos
15700,3.1415289593,3.141592653589793,0.0000636943,0.000,100.00,4
15800,3.1415293625,3.141592653589793,0.0000632911,0.000,100.00,4
15900,3.1415297605,3.141592653589793,0.0000628931,0.000,100.00,4
16000,3.1415301536,3.141592653589793,0.0000625000,0.000,100.00,4
16100,3.1415305418,3.141592653589793,0.0000621118,0.000,100.00,4
16200,3.1415309252,3.141592653589793,0.0000617284,0.000,100.00,4
16300,3.1415313039,3.141592653589793,0.0000613497,0.000,100.00,4
16400,3.1415316780,3.141592653589793,0.0000609756,0.000,100.00,4
16500,3.1415320475,3.141592653589793,0.0000606061,0.000,100.00,4
16600,3.1415324126,3.141592653589793,0.0000602410,0.000,100.00,4
16700,3.1415327734,3.141592653589793,0.0000598802,0.000,100.00,4
16800,3.1415331298,3.141592653589793,0.0000595238,0.000,100.00,4
16900,3.1415334820,3.141592653589793,0.0000591716,0.000,100.00,4
17000,3.1415338301,3.141592653589793,0.0000588235,0.000,100.00,4
17100,3.1415341741,3.141592653589793,0.0000584795,0.000,100.00,4
17200,3.1415345141,3.141592653589793,0.0000581395,0.000,100.00,4
17300,3.1415348501,3.141592653589793,0.0000578035,0.000,100.00,4
17400,3.1415351823,3.141592653589793,0.0000574713,0.000,100.00,4
17500,3.1415355107,3.141592653589793,0.0000571429,0.000,100.00,4
17600,3.1415358354,3.141592653589793,0.0000568182,0.000,100.00,4
17700,3.1415361564,3.141592653589793,0.0000564972,0.000,100.00,4
17800,3.1415364738,3.141592653589793,0.0000561798,0.000,100.00,4
17900,3.1415367877,3.141592653589793,0.0000558659,0.000,100.00,4
18000,3.1415370980,3.141592653589793,0.0000555556,0.000,100.00,4
18100,3.1415374050,3.141592653589793,0.0000552486,0.000,100.00,4
18200,3.1415377085,3.141592653589793,0.0000549451,0.000,100.00,4
18300,3.1415380088,3.141592653589793,0.0000546448,0.000,100.00,4
18400,3.1415383058,3.141592653589793,0.0000543478,0.000,100.00,4
18500,3.1415385995,3.141592653589793,0.0000540541,0.000,100.00,4
18600,3.1415388901,3.141592653589793,0.0000537634,0.000,100.00,4
18700,3.1415391777,3.141592653589793,0.0000534759,0.000,100.00,4
18800,3.1415394621,3.141592653589793,0.0000531915,0.000,100.00,4
18900,3.1415397435,3.141592653589793,0.0000529101,0.000,100.00,4
19000,3.1415400220,3.141592653589793,0.0000526316,0.000,100.00,4
19100,3.1415402976,3.141592653589793,0.0000523560,0.000,100.00,4
19200,3.1415405703,3.141592653589793,0.0000520833,0.000,100.00,4
19300,3.1415408401,3.141592653589793,0.0000518135,0.000,100.00,4
19400,3.1415411072,3.141592653589793,0.0000515464,0.000,100.00,4
19500,3.1415413715,3.141592653589793,0.0000512821,0.000,100.00,4
19600,3.1415416332,3.141592653589793,0.0000510204,0.000,100.00,4
19700,3.1415418922,3.141592653589793,0.0000507614,0.000,100.00,4
19800,3.1415421485,3.141592653589793,0.0000505051,0.000,100.00,4
19900,3.1415424023,3.141592653589793,0.0000502513,0.000,100.00,4
20000,3.1415426536,3.141592653589793,0.0000500000,0.000,100.00,4
20100,3.1415429023,3.141592653589793,0.0000497512,0.000,100.00,4
20200,3.1415431486,3.141592653589793,0.0000495050,0.000,100.00,4
20300,3.1415433925,3.141592653589793,0.0000492611,0.000,100.00,4
20400,3.1415436340,3.141592653589793,0.0000490196,0.000,100.00,4
20500,3.1415438731,3.141592653589793,0.0000487805,0.000,100.00,4
20600,3.1415441099,3.141592653589793,0.0000485437,0.000,100.00,4
20700,3.1415443444,3.141592653589793,0.0000483092,0.000,100.00,4
20800,3.1415445767,3.141592653589793,0.0000480769,0.000,100.00,4
20900,3.1415448067,3.141592653589793,0.0000478469,0.000,100.00,4
21000,3.1415450345,3.141592653589793,0.0000476190,0.000,100.00,4
21100,3.1415452602,3.141592653589793,0.0000473934,0.000,100.00,4
21200,3.1415454838,3.141592653589793,0.0000471698,0.000,100.00,4
21300,3.1415457052,3.141592653589793,0.0000469484,0.000,100.00,4
21400,3.1415459246,3.141592653589793,0.0000467290,0.000,100.00,4
21500,3.1415461420,3.141592653589793,0.0000465116,0.000,100.00,4
21600,3.1415463573,3.141592653589793,0.0000462963,0.000,100.00,4
21700,3.1415465706,3.141592653589793,0.0000460829,0.000,100.00,4
21800,3.1415467820,3.141592653589793,0.0000458716,0.000,100.00,4
21900,3.1415469915,3.141592653589793,0.0000456621,0.000,100.00,4
22000,3.1415471990,3.141592653589793,0.0000454545,0.000,100.00,4
22100,3.1415474047,3.141592653589793,0.0000452489,0.000,100.00,4
22200,3.1415476085,3.141592653589793,0.0000450450,0.000,100.00,4
22300,3.1415478105,3.141592653589793,0.0000448430,0.000,100.00,4
22400,3.1415480107,3.141592653589793,0.0000446429,0.000,100.00,4
22500,3.1415482091,3.141592653589793,0.0000444444,0.000,100.00,4
22600,3.1415484058,3.141592653589793,0.0000442478,0.000,100.00,4
22700,3.1415486007,3.141592653589793,0.0000440529,0.000,100.00,4
22800,3.1415487939,3.141592653589793,0.0000438596,0.000,100.00,4
22900,3.1415489855,3.141592653589793,0.0000436681,0.000,100.00,4
23000,3.1415491753,3.141592653589793,0.0000434783,0.000,100.00,4
23100,3.1415493635,3.141592653589793,0.0000432900,0.000,100.00,4
23200,3.1415495501,3.141592653589793,0.0000431034,0.000,100.00,4
23300,3.1415497351,3.141592653589793,0.0000429185,0.000,100.00,4
23400,3.1415499185,3.141592653589793,0.0000427350,0.000,100.00,4
23500,3.1415501004,3.141592653589793,0.0000425532,0.000,100.00,4
